20070118 04 03  26  1.53  0.499 0.406 0.0
20070119 04 02  24  1.66  0.542 0.441 0.0
20070215 03 47  17  1.23  0.411 0.335 0.0
20070216 03 51  12  1.68  0.561 0.457 0.0
20070503 16 55  71  1.97  0.635 0.518 0.0
20070525 14 43  54  2.15  0.678 0.547 0.109
20070703 15 54  91  1.98  0.583 0.473 0.087
20070704 16 49  97  1.83  0.539 0.437 0.106
20070714 12 46  39  2.31  0.673 0.544 0.108
20070717 13 09  51  2.27  0.654 0.532 0.096
20071001 10 28  46  1.70  0.474 0.386 0.218
20071013 07 54  20  2.03  0.573 0.465 0.047
20071110 05 36   9  1.66  0.484 0.394 0.042
20071111 05 40   9  1.37  0.404 0.326 0.108
20071123 05 38  13  1.71  0.509 0.415 0.068
20071126 07 20  22  1.93  0.581 0.471 0.046
20071218 04 43   8  1.67  0.520 0.422 0.251
20071219 04 31   6  1.56  0.486 0.395 0.065
20080506 17 56  74  1.72  0.555 0.452 0.141
20080508 17 13  38  1.53  0.494 0.401 0.061
20080606 13 18  36  1.96  0.604 0.492 0.101
20080625 16 44  67  1.92  0.578 0.467 0.221
20080701 16 03  70  2.13  0.634 0.513 0.117
20080702 18 40  72  1.72  0.512 0.414 0.117
20080707 18 22  85  2.17  0.639 0.518 0.061
20080711 17 51  54  1.68  0.490 0.399 0.047
20080714 15 03  57  2.04  0.594 0.482 0.040
20080718 15 34  60  2.09  0.602 0.490 0.087
20080719 15 30  44  1.65  0.476 0.387 0.107
20080720 13 36  83  2.17  0.625 0.508 0.116
20080721 13 52  68  2.07  0.597 0.484 0.088
20080725 17 26  71  2.10  0.605 0.489 0.050
20080726 13 21  52  2.08  0.593 0.483 0.111
20080802 17 09  83  1.91  0.545 0.440 0.078
20080803 17 18  82  2.04  0.582 0.470 0.122
20080804 13 00  40  1.77  0.499 0.407 0.137
20080808 13 09  60  2.34  0.660 0.536 0.090
20080815 14 12 114  2.16  0.609 0.492 0.123
20080816 12 22  67  1.69  0.472 0.385 0.124
20080904 12 03  39  2.20  0.614 0.496 0.152 
20080910 07 52  30  2.30  0.642 0.518 0.035
20080911 09 02  31  1.74  0.485 0.392 0.044 
20081017 04 44  15  1.52  0.429 0.349 0.127
20081018 04 40  17  2.03  0.573 0.466 0.141
20081019 04 23  10  2.06  0.581 0.474 0.129
20081111 08 33  21  2.14  0.624 0.507 0.072
20081215 05 16   9  1.70  0.524 0.426 0.154
20090106 05 29   6  1.99  0.635 0.516 0.074
20090119 05 34  16  1.69  0.552 0.446 0.182
20090120 03 57  13  1.38  0.450 0.365 0.135
20090203 04 52   7  1.64  0.541 0.440 0.111
20090504 15 20  82  1.30  0.424 0.344 0.058
20090505 16 21  91  1.33  0.434 0.351 0.051
20090506 16 55  85  1.49  0.486 0.393 0.049
20090507 17 57  69  1.75  0.571 0.461 0.087
20090509 15 34  53  1.07  0.345 0.281 0.103
20090510 17 02  60  1.33  0.429 0.349 0.099
20090617 15 34  82  2.13  0.649 0.528 0.169
20090618 16 27  79  2.01  0.612 0.497 0.150
20090715 13 26  47  2.19  0.638 0.519 0.114
20090804 14 52  79  2.21  0.630 0.510 0.094
20090904 11 51  35  2.36  0.658 0.532 0.106
20090905 07 14  12  2.62  0.731 0.590 0.077
